ciudad;departamento;entregas ;devoluciones ;oficina;dirección;hechos violentos;% pm
SANTA BÁRBARA;NARIÑO;0;0;0;0;6;40,5
SANTACRUZ;NARIÑO;0;0;0;0;0;40,5
SAPUYES;NARIÑO;0;0;0;0;0;40,5
TAMINANGO;NARIÑO;0;0;0;0;0;40,5
TANGUA;NARIÑO;0;0;0;0;0;40,5
SAN ANDRÉS DE TUMACO;NARIÑO;11;0;4;7;0;40,5
TÚQUERRES;NARIÑO;1;0;1;0;0;40,5
YACUANQUER;NARIÑO;0;0;0;0;0;40,5
SAN JOSÉ DE CÚCUTA;NORTE DE SANTANDER;0;0;0;0;293;41,7
ÁBREGO;NORTE DE SANTANDER;0;0;0;0;1549;41,7
ARBOLEDAS;NORTE DE SANTANDER;1;0;1;0;1;41,7
BOCHALEMA;NORTE DE SANTANDER;1;0;0;1;0;41,7
BUCARASICA;NORTE DE SANTANDER;0;0;0;0;2;41,7
CÁCOTA;NORTE DE SANTANDER;0;0;0;0;5;41,7
CÁCHIRA;NORTE DE SANTANDER;0;0;0;0;13;41,7
CHINÁCOTA;NORTE DE SANTANDER;0;0;0;0;3;41,7
CHITAGÁ;NORTE DE SANTANDER;0;0;0;0;5;41,7
CONVENCIÓN;NORTE DE SANTANDER;1;0;1;0;3902;41,7
CUCUTILLA;NORTE DE SANTANDER;0;0;0;0;1;41,7
DURANIA;NORTE DE SANTANDER;0;0;0;0;0;41,7
EL CARMEN;NORTE DE SANTANDER;0;0;0;0;294;41,7
EL TARRA;NORTE DE SANTANDER;1;1;2;0;6814;41,7
EL ZULIA;NORTE DE SANTANDER;2;0;0;2;25;41,7
GRAMALOTE;NORTE DE SANTANDER;0;0;0;0;0;41,7
HACARÍ;NORTE DE SANTANDER;0;0;0;0;0;41,7
HERRÁN;NORTE DE SANTANDER;0;0;0;0;0;41,7
LABATECA;NORTE DE SANTANDER;0;0;0;0;0;41,7
LA ESPERANZA;NORTE DE SANTANDER;0;0;0;0;0;41,7
LA PLAYA;NORTE DE SANTANDER;0;0;0;0;0;41,7
LOS PATIOS;NORTE DE SANTANDER;3;0;0;3;12;41,7
LOURDES;NORTE DE SANTANDER;0;0;0;0;0;41,7
MUTISCUA;NORTE DE SANTANDER;0;0;0;0;0;41,7
OCAÑA;NORTE DE SANTANDER;1;0;1;0;0;41,7
PAMPLONA;NORTE DE SANTANDER;0;0;0;0;0;41,7
PAMPLONITA;NORTE DE SANTANDER;0;0;0;0;0;41,7
PUERTO SANTANDER;NORTE DE SANTANDER;1;0;0;1;0;41,7
RAGONVALIA;NORTE DE SANTANDER;0;0;0;0;0;41,7
SALAZAR;NORTE DE SANTANDER;1;0;1;0;0;41,7
SAN CALIXTO;NORTE DE SANTANDER;1;0;0;1;0;41,7
SAN CAYETANO;NORTE DE SANTANDER;0;0;0;0;0;41,7
SANTIAGO;NORTE DE SANTANDER;0;0;0;0;0;41,7
SARDINATA;NORTE DE SANTANDER;1;0;0;1;0;41,7
SILOS;NORTE DE SANTANDER;0;0;0;0;0;41,7
TEORAMA;NORTE DE SANTANDER;0;0;0;0;0;41,7
TIBÚ;NORTE DE SANTANDER;2;1;3;0;0;41,7
TOLEDO;NORTE DE SANTANDER;0;0;0;0;0;41,7
VILLA CARO;NORTE DE SANTANDER;0;0;0;0;0;41,7
VILLA DEL ROSARIO;NORTE DE SANTANDER;7;1;1;7;36;41,7
ARMENIA;QUINDÍO;2;0;0;2;0;38,7
BUENAVISTA;QUINDÍO;0;0;0;0;17;38,7
CALARCÁ;QUINDÍO;1;0;0;1;0;38,7
CIRCASIA;QUINDÍO;0;0;0;0;0;38,7
CÓRDOBA;QUINDÍO;1;0;1;0;0;38,7
FILANDIA;QUINDÍO;0;0;0;0;0;38,7
GÉNOVA;QUINDÍO;0;0;0;0;0;38,7
LA TEBAIDA;QUINDÍO;1;0;0;1;0;38,7
MONTENEGRO;QUINDÍO;1;0;0;1;0;38,7
PIJAO;QUINDÍO;0;0;0;0;0;38,7
QUIMBAYA;QUINDÍO;0;0;0;0;0;38,7
SALENTO;QUINDÍO;0;0;0;0;0;38,7
PEREIRA;RISARALDA;11;0;0;11;5;40,1
APÍA;RISARALDA;0;0;0;0;0;40,1
BALBOA;RISARALDA;0;0;0;0;27;40,1
BELÉN DE UMBRÍA;RISARALDA;0;0;0;0;0;40,1
DOSQUEBRADAS;RISARALDA;5;0;0;5;0;40,1
GUÁTICA;RISARALDA;0;0;0;0;0;40,1
LA CELIA;RISARALDA;0;0;0;0;0;40,1
LA VIRGINIA;RISARALDA;2;0;0;2;0;40,1
MARSELLA;RISARALDA;0;0;0;0;0;40,1
MISTRATÓ;RISARALDA;0;0;0;0;17;40,1
PUEBLO RICO;RISARALDA;0;0;0;0;390;40,1
QUINCHÍA;RISARALDA;0;0;0;0;0;40,1
SANTA ROSA DE CABAL;RISARALDA;4;0;0;4;0;40,1
SANTUARIO;RISARALDA;0;0;0;0;0;40,1
BUCARAMANGA;SANTANDER;8;1;0;9;0;39
AGUADA;SANTANDER;0;0;0;0;0;39
ALBANIA;SANTANDER;1;0;0;1;4;39
ARATOCA;SANTANDER;0;0;0;0;0;39
BARBOSA;SANTANDER;3;0;1;2;4;39
BARICHARA;SANTANDER;0;0;0;0;0;39
BARRANCABERMEJA;SANTANDER;9;1;6;4;0;39
BETULIA;SANTANDER;0;0;0;0;10;39
BOLÍVAR;SANTANDER;1;0;0;1;26;39
CABRERA;SANTANDER;0;0;0;0;0;39
CALIFORNIA;SANTANDER;0;0;0;0;0;39
CAPITANEJO;SANTANDER;0;0;0;0;0;39
CARCASÍ;SANTANDER;0;0;0;0;0;39
CEPITÁ;SANTANDER;0;0;0;0;0;39
CERRITO;SANTANDER;0;0;0;0;0;39
CHARALÁ;SANTANDER;0;0;0;0;0;39
CHARTA;SANTANDER;0;0;0;0;0;39
CHIMA;SANTANDER;0;0;0;0;0;39
CHIPATÁ;SANTANDER;1;0;1;0;0;39
CIMITARRA;SANTANDER;0;0;0;0;0;39
CONCEPCIÓN;SANTANDER;0;0;0;0;0;39
CONFINES;SANTANDER;0;0;0;0;0;39
CONTRATACIÓN;SANTANDER;1;0;0;1;0;39
COROMORO;SANTANDER;0;0;0;0;0;39
CURITÍ;SANTANDER;0;0;0;0;0;39
EL CARMEN DE CHUCURÍ;SANTANDER;0;0;0;0;0;39
EL GUACAMAYO;SANTANDER;0;0;0;0;0;39
EL PEÑÓN;SANTANDER;0;0;0;0;0;39
EL PLAYÓN;SANTANDER;0;0;0;0;1;39
ENCINO;SANTANDER;1;0;1;0;0;39
ENCISO;SANTANDER;0;0;0;0;0;39
FLORIÁN;SANTANDER;0;0;0;0;7;39
FLORIDABLANCA;SANTANDER;2;0;0;2;0;39
GALÁN;SANTANDER;0;0;0;0;0;39
GÁMBITA;SANTANDER;0;0;0;0;0;39
GIRÓN;SANTANDER;2;0;0;2;0;39
GUACA;SANTANDER;0;0;0;0;0;39
GUADALUPE;SANTANDER;1;0;1;0;30;39
GUAPOTÁ;SANTANDER;0;0;0;0;0;39
GUAVATÁ;SANTANDER;0;0;0;0;0;39
GÜEPSA;SANTANDER;0;0;0;0;0;39
HATO;SANTANDER;0;0;0;0;0;39
JESÚS MARÍA;SANTANDER;0;0;0;0;0;39
JORDÁN;SANTANDER;0;0;0;0;0;39
LA BELLEZA;SANTANDER;0;0;0;0;0;39
LANDÁZURI;SANTANDER;0;1;1;0;0;39
LA PAZ;SANTANDER;0;0;0;0;0;39
LEBRIJA;SANTANDER;1;0;0;1;0;39
LOS SANTOS;SANTANDER;0;0;0;0;0;39
MACARAVITA;SANTANDER;0;0;0;0;0;39
MÁLAGA;SANTANDER;0;0;0;0;0;39
MATANZA;SANTANDER;0;0;0;0;0;39
MOGOTES;SANTANDER;0;0;0;0;0;39
MOLAGAVITA;SANTANDER;0;0;0;0;0;39
OCAMONTE;SANTANDER;0;0;0;0;0;39
OIBA;SANTANDER;0;0;0;0;0;39
ONZAGA;SANTANDER;0;0;0;0;0;39
PALMAR;SANTANDER;0;0;0;0;0;39
PALMAS DEL SOCORRO;SANTANDER;0;0;0;0;0;39
PÁRAMO;SANTANDER;0;0;0;0;0;39
PIEDECUESTA;SANTANDER;2;0;0;2;0;39
PINCHOTE;SANTANDER;0;0;0;0;0;39
PUENTE NACIONAL;SANTANDER;0;0;0;0;0;39
PUERTO PARRA;SANTANDER;0;0;0;0;0;39
PUERTO WILCHES;SANTANDER;0;0;0;0;0;39
RIONEGRO;SANTANDER;7;1;0;8;0;39
SABANA DE TORRES;SANTANDER;0;0;0;0;0;39
SAN ANDRÉS;SANTANDER;0;1;0;1;0;39
SAN BENITO;SANTANDER;0;0;0;0;0;39
SAN GIL;SANTANDER;2;0;0;2;0;39
SAN JOAQUÍN;SANTANDER;0;0;0;0;0;39
SAN JOSÉ DE MIRANDA;SANTANDER;0;0;0;0;0;39
SAN MIGUEL;SANTANDER;0;0;0;0;0;39
SAN VICENTE DE CHUCURÍ;SANTANDER;1;0;1;0;0;39
SANTA BÁRBARA;SANTANDER;0;0;0;0;6;39
SANTA HELENA DEL OPÓN;SANTANDER;0;0;0;0;0;39
SIMACOTA;SANTANDER;0;0;0;0;0;39
SOCORRO;SANTANDER;1;0;0;1;0;39
SUAITA;SANTANDER;0;0;0;0;0;39
SUCRE;SANTANDER;0;0;0;0;0;39
SURATÁ;SANTANDER;0;0;0;0;0;39
TONA;SANTANDER;0;0;0;0;0;39
VALLE DE SAN JOSÉ;SANTANDER;0;0;0;0;0;39
VÉLEZ;SANTANDER;1;0;0;1;0;39
VETAS;SANTANDER;0;0;0;0;0;39
VILLANUEVA;SANTANDER;1;0;0;1;5;39
ZAPATOCA;SANTANDER;0;0;0;0;0;39
SINCELEJO;SUCRE;5;0;0;5;0;40,2
BUENAVISTA;SUCRE;0;0;0;0;17;40,2
CAIMITO;SUCRE;0;0;0;0;0;40,2
COLOSÓ;SUCRE;0;0;0;0;0;40,2
COROZAL;SUCRE;2;0;0;2;0;40,2
COVEÑAS;SUCRE;0;0;0;0;0;40,2
CHALÁN;SUCRE;0;0;0;0;0;40,2
EL ROBLE;SUCRE;0;0;0;0;0;40,2
GALERAS;SUCRE;1;0;0;1;0;40,2
GUARANDA;SUCRE;0;0;0;0;11;40,2
LA UNIÓN;SUCRE;0;0;0;0;3;40,2
LOS PALMITOS;SUCRE;0;0;0;0;0;40,2
MAJAGUAL;SUCRE;0;0;0;0;0;40,2
MORROA;SUCRE;0;0;0;0;0;40,2
OVEJAS;SUCRE;0;0;0;0;0;40,2
PALMITO;SUCRE;0;0;0;0;0;40,2
SAMPUÉS;SUCRE;0;0;0;0;0;40,2
SAN BENITO ABAD;SUCRE;0;0;0;0;0;40,2
SAN JUAN DE BETULIA;SUCRE;0;0;0;0;0;40,2
SAN MARCOS;SUCRE;1;0;0;1;0;40,2
SAN ONOFRE;SUCRE;0;0;0;0;0;40,2
SAN PEDRO;SUCRE;0;0;0;0;0;40,2
SAN LUIS DE SINCÉ;SUCRE;0;0;0;0;0;40,2
SUCRE;SUCRE;0;0;0;0;0;40,2
SANTIAGO DE TOLÚ;SUCRE;3;0;3;0;0;40,2
SAN JOSÉ DE TOLUVIEJO;SUCRE;0;0;0;0;0;40,2
IBAGUÉ;TOLIMA;10;0;0;10;0;38,9
ALPUJARRA;TOLIMA;0;0;0;0;1;38,9
ALVARADO;TOLIMA;0;0;0;0;0;38,9
AMBALEMA;TOLIMA;0;0;0;0;0;38,9
ANZOÁTEGUI;TOLIMA;0;0;0;0;0;38,9
ARMERO;TOLIMA;0;0;0;0;0;38,9
ATACO;TOLIMA;0;0;0;0;0;38,9
CAJAMARCA;TOLIMA;0;0;0;0;0;38,9
CARMEN DE APICALÁ;TOLIMA;0;0;0;0;0;38,9
CASABIANCA;TOLIMA;0;0;0;0;0;38,9
CHAPARRAL;TOLIMA;2;0;0;2;0;38,9
COELLO;TOLIMA;0;0;0;0;0;38,9
COYAIMA;TOLIMA;0;0;0;0;0;38,9
CUNDAY;TOLIMA;0;0;0;0;0;38,9
DOLORES;TOLIMA;0;0;0;0;0;38,9
ESPINAL;TOLIMA;1;0;0;1;0;38,9
FALAN;TOLIMA;4;0;1;3;0;38,9
FLANDES;TOLIMA;1;0;0;1;0;38,9
FRESNO;TOLIMA;2;0;2;0;0;38,9
GUAMO;TOLIMA;2;0;0;2;0;38,9
HERVEO;TOLIMA;0;0;0;0;0;38,9
HONDA;TOLIMA;1;0;0;1;0;38,9
ICONONZO;TOLIMA;0;0;0;0;0;38,9
LÉRIDA;TOLIMA;0;0;0;0;0;38,9
LÍBANO;TOLIMA;1;0;0;1;0;38,9
SAN SEBASTIÁN DE MARIQUITA;TOLIMA;1;0;1;0;6;38,9
MELGAR;TOLIMA;3;0;0;3;0;38,9
MURILLO;TOLIMA;0;0;0;0;0;38,9
NATAGAIMA;TOLIMA;0;0;0;0;16;38,9
ORTEGA;TOLIMA;0;0;0;0;14;38,9
PALOCABILDO;TOLIMA;2;0;2;0;0;38,9
PIEDRAS;TOLIMA;0;0;0;0;0;38,9
PLANADAS;TOLIMA;0;0;0;0;32;38,9
PRADO;TOLIMA;0;0;0;0;0;38,9
PURIFICACIÓN;TOLIMA;0;0;0;0;0;38,9
RIOBLANCO;TOLIMA;2;0;2;0;33;38,9
RONCESVALLES;TOLIMA;0;0;0;0;0;38,9
ROVIRA;TOLIMA;3;1;2;2;32;38,9
SALDAÑA;TOLIMA;0;0;0;0;0;38,9
SAN ANTONIO;TOLIMA;0;0;0;0;18;38,9
SAN LUIS;TOLIMA;1;0;1;0;4;38,9
SANTA ISABEL;TOLIMA;0;0;0;0;0;38,9
SUÁREZ;TOLIMA;0;0;0;0;0;38,9
VALLE DE SAN JUAN;TOLIMA;0;0;0;0;0;38,9
VENADILLO;TOLIMA;0;0;0;0;0;38,9
VILLAHERMOSA;TOLIMA;0;0;0;0;0;38,9
VILLARRICA;TOLIMA;0;0;0;0;0;38,9
SANTIAGO DE CALI;VALLE DEL CAUCA;0;0;0;0;0;39
ALCALÁ;VALLE DEL CAUCA;0;0;0;0;0;39
ANDALUCÍA;VALLE DEL CAUCA;0;0;0;0;0;39
ANSERMANUEVO;VALLE DEL CAUCA;0;0;0;0;0;39
ARGELIA;VALLE DEL CAUCA;0;0;0;0;261;39
BOLÍVAR;VALLE DEL CAUCA;1;0;0;1;26;39
BUENAVENTURA;VALLE DEL CAUCA;17;1;1;17;0;39
GUADALAJARA DE BUGA;VALLE DEL CAUCA;4;0;2;2;0;39
BUGALAGRANDE;VALLE DEL CAUCA;0;0;0;0;8;39
CAICEDONIA;VALLE DEL CAUCA;0;0;0;0;0;39
CALIMA;VALLE DEL CAUCA;2;0;1;1;0;39
CANDELARIA;VALLE DEL CAUCA;1;0;0;1;0;39
CARTAGO;VALLE DEL CAUCA;7;0;2;5;11;39
DAGUA;VALLE DEL CAUCA;0;0;0;0;7;39
EL ÁGUILA;VALLE DEL CAUCA;2;0;1;1;0;39
EL CAIRO;VALLE DEL CAUCA;0;0;0;0;0;39
EL CERRITO;VALLE DEL CAUCA;0;0;0;0;0;39
EL DOVIO;VALLE DEL CAUCA;1;0;1;0;0;39
FLORIDA;VALLE DEL CAUCA;5;1;4;2;0;39
GINEBRA;VALLE DEL CAUCA;0;0;0;0;0;39
GUACARÍ;VALLE DEL CAUCA;2;0;0;2;0;39
JAMUNDÍ;VALLE DEL CAUCA;0;0;0;0;127;39
LA CUMBRE;VALLE DEL CAUCA;0;0;0;0;0;39
LA UNIÓN;VALLE DEL CAUCA;0;0;0;0;3;39
LA VICTORIA;VALLE DEL CAUCA;0;0;0;0;0;39
OBANDO;VALLE DEL CAUCA;0;0;0;0;0;39
PALMIRA;VALLE DEL CAUCA;0;0;0;0;0;39
PRADERA;VALLE DEL CAUCA;1;0;0;1;0;39
RESTREPO;VALLE DEL CAUCA;0;0;0;0;0;39
RIOFRÍO;VALLE DEL CAUCA;0;0;0;0;0;39
ROLDANILLO;VALLE DEL CAUCA;1;0;1;0;0;39
SAN PEDRO;VALLE DEL CAUCA;0;0;0;0;0;39
SEVILLA;VALLE DEL CAUCA;2;0;1;1;0;39
TORO;VALLE DEL CAUCA;0;0;0;0;0;39
TRUJILLO;VALLE DEL CAUCA;0;0;0;0;0;39
TULUÁ;VALLE DEL CAUCA;5;1;2;4;0;39
ULLOA;VALLE DEL CAUCA;0;0;0;0;0;39
VERSALLES;VALLE DEL CAUCA;0;0;0;0;0;39
VIJES;VALLE DEL CAUCA;0;0;0;0;0;39
YOTOCO;VALLE DEL CAUCA;0;0;0;0;0;39
YUMBO;VALLE DEL CAUCA;0;0;0;0;4;39
ZARZAL;VALLE DEL CAUCA;3;0;2;1;1;39
ARAUCA;ARAUCA;5;0;1;4;54;40,4
ARAUQUITA;ARAUCA;1;0;1;0;98;40,4
CRAVO NORTE;ARAUCA;0;0;0;0;2;40,4
FORTUL;ARAUCA;0;0;0;0;35;40,4
PUERTO RONDÓN;ARAUCA;0;0;0;0;32;40,4
SARAVENA;ARAUCA;1;0;0;1;92;40,4
TAME;ARAUCA;0;0;0;0;132;40,4
YOPAL;CASANARE;1;0;1;0;34;37,7
AGUAZUL;CASANARE;0;0;0;0;8;37,7
CHÁMEZA;CASANARE;0;0;0;0;0;37,7
HATO COROZAL;CASANARE;2;0;2;0;7;37,7
LA SALINA;CASANARE;0;0;0;0;0;37,7
MANÍ;CASANARE;0;0;0;0;0;37,7
MONTERREY;CASANARE;1;1;1;1;0;37,7
NUNCHÍA;CASANARE;0;0;0;0;0;37,7
OROCUÉ;CASANARE;0;0;0;0;0;37,7
PAZ DE ARIPORO;CASANARE;0;0;0;0;0;37,7
PORE;CASANARE;0;0;0;0;0;37,7
RECETOR;CASANARE;0;0;0;0;0;37,7
SABANALARGA;CASANARE;1;0;1;0;0;37,7
SÁCAMA;CASANARE;0;0;0;0;0;37,7
SAN LUIS DE PALENQUE;CASANARE;0;0;0;0;0;37,7
TÁMARA;CASANARE;0;0;0;0;0;37,7
TAURAMENA;CASANARE;0;0;0;0;0;37,7
TRINIDAD;CASANARE;1;0;0;1;0;37,7
VILLANUEVA;CASANARE;1;0;0;1;5;37,7
MOCOA;PUTUMAYO;0;0;0;0;0;41,7
COLÓN;PUTUMAYO;0;0;0;0;2;41,7
ORITO;PUTUMAYO;3;0;3;0;0;41,7
PUERTO ASÍS;PUTUMAYO;0;0;0;0;0;41,7
PUERTO CAICEDO;PUTUMAYO;0;0;0;0;0;41,7
PUERTO GUZMÁN;PUTUMAYO;0;0;0;0;0;41,7
PUERTO LEGUÍZAMO;PUTUMAYO;0;0;0;0;0;41,7
SIBUNDOY;PUTUMAYO;0;0;0;0;0;41,7
SAN FRANCISCO;PUTUMAYO;0;0;0;0;0;41,7
SAN MIGUEL;PUTUMAYO;0;0;0;0;0;41,7
SANTIAGO;PUTUMAYO;0;0;0;0;0;41,7
VALLE DEL GUAMUEZ;PUTUMAYO;3;0;2;1;0;41,7
VILLAGARZÓN;PUTUMAYO;1;0;1;0;0;41,7
SAN ANDRÉS;ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;0;1;0;1;0;40,4
PROVIDENCIA;ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;0;0;0;0;0;40,4
LETICIA;AMAZONAS;3;0;3;0;12;
EL ENCANTO;AMAZONAS;0;0;0;0;0;
LA CHORRERA;AMAZONAS;0;0;0;0;0;
LA PEDRERA;AMAZONAS;0;0;0;0;0;
LA VICTORIA;AMAZONAS;0;0;0;0;0;
MIRITÍ - PARANÁ;AMAZONAS;0;0;0;0;0;
PUERTO ALEGRÍA;AMAZONAS;0;0;0;0;0;
PUERTO ARICA;AMAZONAS;0;0;0;0;0;
PUERTO NARIÑO;AMAZONAS;0;0;0;0;0;
PUERTO SANTANDER;AMAZONAS;1;0;0;1;0;
TARAPACÁ;AMAZONAS;0;0;0;0;0;
INÍRIDA;GUAINÍA;0;0;0;0;0;42,8
BARRANCOMINAS;GUAINÍA;0;0;0;0;0;42,8
SAN FELIPE;GUAINÍA;0;0;0;0;0;42,8
PUERTO COLOMBIA;GUAINÍA;0;0;0;0;0;42,8
LA GUADALUPE;GUAINÍA;0;0;0;0;0;42,8
CACAHUAL;GUAINÍA;0;0;0;0;0;42,8
PANA PANA;GUAINÍA;0;0;0;0;0;42,8
MORICHAL;GUAINÍA;0;0;0;0;0;42,8
SAN JOSÉ DEL GUAVIARE;GUAVIARE;0;0;0;0;73;42,8
CALAMAR;GUAVIARE;0;0;0;0;40;42,8
EL RETORNO;GUAVIARE;0;0;0;0;0;42,8
MIRAFLORES;GUAVIARE;1;0;1;0;0;42,8
MITÚ;VAUPÉS;0;0;0;0;0;42,1
CARURÚ;VAUPÉS;0;0;0;0;0;42,1
PACOA;VAUPÉS;0;0;0;0;0;42,1
TARAIRA;VAUPÉS;0;0;0;0;0;42,1
PAPUNAHUA;VAUPÉS;0;0;0;0;0;42,1
YAVARATÉ;VAUPÉS;0;0;0;0;0;42,1
PUERTO CARREÑO;VICHADA;1;0;1;0;0;49,3
LA PRIMAVERA;VICHADA;0;0;0;0;0;49,3
SANTA ROSALÍA;VICHADA;0;0;0;0;0;49,3
CUMARIBO;VICHADA;0;0;0;0;0;49,3
